sale_id,sale_date,customer_id,product_id,quantity,unit_price,unit_cost
S001,2025-01-15,C001,P001,5,1200,700
S002,2025-01-20,C002,P003,20,60,25
S003,2025-02-05,C003,P007,3,1500,500
S004,2025-02-18,C004,P002,10,350,180
S005,2025-03-10,C005,P005,2,5000,2500
S006,2025-03-22,C006,P006,15,150,50
S007,2025-04-05,C007,P004,25,40,15
S008,2025-04-18,C008,P008,8,450,200
S009,2025-05-02,C009,P009,12,300,100
S010,2025-05-15,C010,P001,7,1200,700
S011,2025-06-01,C011,P010,6,600,250
S012,2025-06-20,C012,P006,20,150,50
S013,2025-07-08,C013,P007,5,1500,500
S014,2025-07-25,C014,P003,30,60,25
S015,2025-08-12,C015,P005,3,5000,2500
S016,2025-08-30,C001,P002,15,350,180
S017,2025-09-14,C003,P009,10,300,100
S018,2025-09-28,C005,P008,12,450,200
S019,2025-10-10,C010,P001,8,1200,700
S020,2025-10-25,C006,P007,4,1500,500
S021,2025-11-05,C002,P010,10,600,250
S022,2025-11-18,C008,P004,35,40,15
S023,2025-12-03,C013,P006,25,150,50
S024,2025-12-15,C014,P009,18,300,100
